,0,1,2,,,0,1,2
AGL,0,0,1,,TE6_OESOPHAGUS,0,0,1
AGMO,0,0,1,,THP1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0,0,1
AGO3,0,0,1,,TOV21G_OVARY,0,0,1
AGPAT3,0,0,1,,TUHR14TKB_KIDNEY,0,0,1
AGPAT4,0,0,1,,U343_CENTRAL_NERVOUS_SYSTEM,0,0,1
GPAT4,0,0,1,,U937_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0,0,1
AGPS,0,0,1,,UACC257_SKIN,0,0,1
AGR3,0,0,1,,UMUC3_URINARY_TRACT,0,0,1
AGT,0,0,1,,UPCISCC152_UPPER_AERODIGESTIVE_TRACT,0,0,1
AHCTF1,0,0,1,,VMCUB1_URINARY_TRACT,0,0,1
AHCYL1,0,0,1,,WM1799_SKIN,0,0,1
AHCYL2,0,0,1,,YAPC_PANCREAS,0,0,1
AHI1,0,0,1,,YKG1_CENTRAL_NERVOUS_SYSTEM,0,0,1
AHNAK,0,0,1,,127399_SOFT_TISSUE,0,1,0
AHRR,0,0,1,,42MGBA_CENTRAL_NERVOUS_SYSTEM,0,1,0
AHSA1,0,0,1,,639V_URINARY_TRACT,0,1,0
AHSA2,0,0,1,,647V_URINARY_TRACT,0,1,0
AIFM2,0,0,1,,697_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0,1,0
AIFM3,0,0,1,,8MGBA_CENTRAL_NERVOUS_SYSTEM,0,1,0
AIG1,0,0,1,,AGS_STOMACH,0,1,0
CRYBG1,0,0,1,,BC3C_URINARY_TRACT,0,1,0
AIMP1,0,0,1,,BICR22_UPPER_AERODIGESTIVE_TRACT,0,1,0
AIMP2,0,0,1,,BICR31_UPPER_AERODIGESTIVE_TRACT,0,1,0
AIRE,0,0,1,,BICR56_UPPER_AERODIGESTIVE_TRACT,0,1,0
AK3,0,0,1,,BICR6_UPPER_AERODIGESTIVE_TRACT,0,1,0
AK7,0,0,1,,BT549_BREAST,0,1,0
AKAP1,0,0,1,,C2BBE1_LARGE_INTESTINE,0,1,0
AKAP11,0,0,1,,C32_SKIN,0,1,0
AKAP3,0,0,1,,CAKI2_KIDNEY,0,1,0
AKAP5,0,0,1,,CAL33_UPPER_AERODIGESTIVE_TRACT,0,1,0
AKAP7,0,0,1,,CCFSTTG1_CENTRAL_NERVOUS_SYSTEM,0,1,0
AKAP9,0,0,1,,COGAR359_SOFT_TISSUE,0,1,0
AKIP1,0,0,1,,COGE352_BONE,0,1,0
AKNAD1,0,0,1,,COGN278_AUTONOMIC_GANGLIA,0,1,0
AKR1B1,0,0,1,,COGN305_AUTONOMIC_GANGLIA,0,1,0
AKR1B10,0,0,1,,COV434_OVARY,0,1,0
AKR1B15,0,0,1,,CW9019_SOFT_TISSUE,0,1,0
AKR1E2,0,0,1,,D341MED_CENTRAL_NERVOUS_SYSTEM,0,1,0
AKT1,0,0,1,,DANG_PANCREAS,0,1,0
ALAS1,0,0,1,,EFO27_OVARY,0,1,0
ALB,0,0,1,,EJM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0,1,0
ALCAM,0,0,1,,FU97_STOMACH,0,1,0
ALDH18A1,0,0,1,,G292CLONEA141B1_BONE,0,1,0
ALDH1A1,0,0,1,,GI1_CENTRAL_NERVOUS_SYSTEM,0,1,0
ALDH1A2,0,0,1,,H4_CENTRAL_NERVOUS_SYSTEM,0,1,0
ALDH1L2,0,0,1,,HCC1359_LUNG,0,1,0
ALDH9A1,0,0,1,,HCC1395_BREAST,0,1,0
ALG12,0,0,1,,HCC15_LUNG,0,1,0
ALG1L,0,0,1,,HCC1937_BREAST,0,1,0
ALG5,0,0,1,,HCC56_LARGE_INTESTINE,0,1,0
ALG8,0,0,1,,HCC827_LUNG,0,1,0
ALG9,0,0,1,,HEC251_ENDOMETRIUM,0,1,0
ALKBH2,0,0,1,,HEC6_ENDOMETRIUM,0,1,0
ALKBH5,0,0,1,,HEYA8_OVARY,0,1,0
